unknown,DR,EF,CC,ER,LT,AA,DG,AG,NW
36960.0,4533600.0,4618920.0,4969620.0,5153640.0,6270060.0,6444900.0,11877540.0,13006800.0,15163800.0
40200.0,4962660.0,4630080.0,4970160.0,7993500.0,7305780.0,9113220.0,12227760.0,,
54900.0,4963980.0,4630260.0,5067900.0,7994100.0,7901700.0,9114120.0,12745800.0,,
57360.0,4971780.0,4617960.0,5143320.0,7996020.0,7902900.0,10340880.0,12830220.0,,
209400.0,4972140.0,4965480.0,6170640.0,7996200.0,7907700.0,12485520.0,12830460.0,,
217320.0,5044680.0,5226480.0,6177900.0,7996260.0,7907820.0,13000560.0,12831600.0,,
225840.0,5055120.0,5230380.0,6183960.0,8009760.0,7909740.0,14214720.0,14297040.0,,
226200.0,5055420.0,5481180.0,6188760.0,8084160.0,8165400.0,14225820.0,14632440.0,,
228840.0,5057400.0,5484420.0,6279240.0,8178000.0,8258100.0,15844140.0,14645700.0,,
654960.0,5057640.0,5490540.0,6439380.0,11020500.0,8259240.0,15849300.0,14740140.0,,
661320.0,5058780.0,5567580.0,6448140.0,11106540.0,8512980.0,,14818140.0,,
730200.0,5133720.0,5583840.0,7393680.0,11718480.0,9119460.0,,14820540.0,,
734460.0,5139720.0,5653980.0,8769120.0,11805120.0,9123720.0,,14821620.0,,
738540.0,5139780.0,5654280.0,8776620.0,12833820.0,9113580.0,,15338100.0,,
743700.0,5144940.0,5658360.0,8859660.0,13434480.0,9115740.0,,15760380.0,,
747240.0,7299600.0,5669520.0,9377100.0,13439460.0,11887260.0,,15935220.0,,
819120.0,7389420.0,6352380.0,9377520.0,13441200.0,12400680.0,,16375020.0,,
822360.0,7389600.0,6775920.0,9382080.0,13527300.0,12501960.0,,16377180.0,,
823260.0,7390380.0,6779220.0,9808800.0,13610640.0,14727960.0,,16721040.0,,
833700.0,7475820.0,6779760.0,9810660.0,13614300.0,,,,,
918180.0,7553460.0,12825000.0,10413360.0,13618800.0,,,,,
1249980.0,7559820.0,12909660.0,10413600.0,13619580.0,,,,,
1334880.0,8853840.0,12909900.0,10500360.0,14217060.0,,,,,
1335120.0,8854140.0,12911820.0,10582380.0,15942660.0,,,,,
1344720.0,8860800.0,12924420.0,10931640.0,15943380.0,,,,,
1344960.0,9205560.0,13008960.0,10931760.0,16029600.0,,,,,
1414380.0,9205620.0,13010700.0,11110560.0,16031640.0,,,,,
1418940.0,10335180.0,13084200.0,11624760.0,16554900.0,,,,,
1419360.0,10494420.0,13094040.0,11709060.0,16632960.0,,,,,
1514820.0,10499640.0,13102140.0,11709660.0,16634160.0,,,,,
1520820.0,10931520.0,13349400.0,12143280.0,,,,,,
1865880.0,10947120.0,13357080.0,12150420.0,,,,,,
1945440.0,11622840.0,13437720.0,12311580.0,,,,,,
2031000.0,11623800.0,13684260.0,12311880.0,,,,,,
2041500.0,11704620.0,13697880.0,12314340.0,,,,,,
2464200.0,11717700.0,13699080.0,12314580.0,,,,,,
2551140.0,11795580.0,13961520.0,12314820.0,,,,,,
2552880.0,11796060.0,13965180.0,12315960.0,,,,,,
2634060.0,11804160.0,14203260.0,12398040.0,,,,,,
2639100.0,12141300.0,14203440.0,12402420.0,,,,,,
2641200.0,12146640.0,14214600.0,12478620.0,,,,,,
2723760.0,12232620.0,14304960.0,12482340.0,,,,,,
2727540.0,12233400.0,14647620.0,12488940.0,,,,,,
2799720.0,12390900.0,15352500.0,12743640.0,,,,,,
2805960.0,12391440.0,15426780.0,12744120.0,,,,,,
2812200.0,12407040.0,16623900.0,12746400.0,,,,,,
2812500.0,12410700.0,,12747900.0,,,,,,
3065580.0,12497880.0,,13005000.0,,,,,,
3072420.0,13513140.0,,13349640.0,,,,,,
3114000.0,13513380.0,,13352880.0,,,,,,
3148620.0,13603800.0,,13434900.0,,,,,,
3155820.0,13605840.0,,13523700.0,,,,,,
3235200.0,13607280.0,,13523820.0,,,,,,
3235260.0,14117580.0,,13525800.0,,,,,,
3239880.0,14119920.0,,13526400.0,,,,,,
3240000.0,14307960.0,,13952940.0,,,,,,
3241740.0,15331500.0,,13955280.0,,,,,,
3241920.0,15346260.0,,14123880.0,,,,,,
3243060.0,15423600.0,,14218620.0,,,,,,
3317880.0,15424560.0,,14302320.0,,,,,,
3412920.0,15434580.0,,14720160.0,,,,,,
3419760.0,15854100.0,,14729640.0,,,,,,
3422400.0,15945120.0,,14733840.0,,,,,,
3668400.0,15946320.0,,14734020.0,,,,,,
3673860.0,16113240.0,,15251700.0,,,,,,
3675840.0,16114440.0,,15252000.0,,,,,,
3755100.0,16115220.0,,15259020.0,,,,,,
3755520.0,16116660.0,,15515880.0,,,,,,
3762720.0,16383360.0,,,,,,,,
3764220.0,16384320.0,,,,,,,,
3765660.0,16454100.0,,,,,,,,
3765900.0,,,,,,,,,
3766260.0,,,,,,,,,
3766620.0,,,,,,,,,
3766920.0,,,,,,,,,
3768660.0,,,,,,,,,
3854340.0,,,,,,,,,
3928080.0,,,,,,,,,
3931560.0,,,,,,,,,
3934800.0,,,,,,,,,
4269000.0,,,,,,,,,
4359480.0,,,,,,,,,
4362540.0,,,,,,,,,
4365720.0,,,,,,,,,
4441140.0,,,,,,,,,
4618800.0,,,,,,,,,
7994100.0,,,,,,,,,
10585740.0,,,,,,,,,
12831960.0,,,,,,,,,
14137920.0,,,,,,,,,
15865020.0,,,,,,,,,
15865380.0,,,,,,,,,
15865740.0,,,,,,,,,
16123980.0,,,,,,,,,
